pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Quorum sensing and biofilm,curated,2026-09-08,PA3361,lecB,hypothetical protein ,PA3361_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3540,algD,GDP-mannose 6-dehydrogenase AlgD ,PA3540_algD_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3541,alg8,alginate biosynthesis protein Alg8 ,PA3541_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3542,alg44,alginate biosynthesis protein Alg44 ,PA3542_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3543,algK,alginate biosynthetic protein AlgK precursor ,PA3543_algK_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3544,algE,outer membrane protein AlgE ,PA3544_algE_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3545,algG,alginate-c5-mannuronan-epimerase AlgG ,PA3545_algG_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3546,algX,alginate biosynthesis protein AlgX ,PA3546_algX_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3547,algL,poly(beta-d-mannuronate) lyase precursor AlgL ,PA3547_algL_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3548,algI,alginate o-acetyltransferase AlgI ,PA3548_algI_at,,
Anaerobic respiration,curated,2026-09-08,PA5171,arcA,arginine deiminase ,PA5171_arcA_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3550,algF,alginate o-acetyltransferase AlgF ,PA3550_algF_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3551,algA,phosphomannose isomerase ,PA3551_algA_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5322,algC,phosphomannomutase AlgC ,PA5322_algC_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5261,algR,alginate biosynthesis regulatory protein AlgR ,PA5261_algR_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5262,algZ,alginate biosynthesis protein AlgZ,PA5262_algZ_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5253,algP,alginate regulatory protein AlgP ,PA5253_algP_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA5255,algQ,Alginate regulatory protein AlgQ ,PA5255_algQ_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA4446,algW,AlgW protein ,PA4446_algW_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0764,mucB,negative regulator for alginate biosynthesis MucB ,PA0764_mucB_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0765,mucC,positive regulator for alginate biosynthesis MucC ,PA0765_mucC_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0766,mucD,serine protease MucD precursor ,PA0766_mucD_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3549,algJ,alginate o-acetyltransferase AlgJ ,PA3549_algJ_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1432,lasI,autoinducer synthesis protein LasI ,PA1432_lasI_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA1430,lasR,transcriptional regulator LasR ,PA1430_lasR_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3476,rhlI,autoinducer synthesis protein RhlL ,PA3476_rhlL_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA3477,rhlR,transcriptional regulator RhlR ,PA3477_rhlR_at,,
Quorum sensing and biofilm,curated,2026-09-08,PA0996,pqsA,probable coenzyme A ligase ,PA0996_at,,
