pathway,gene_id,gene_name,annotation,log2FC,p_value,logFC_ironlim
Anaerobic respiration,AAP18216.1,epd,D-erythrose 4-phosphate dehydrogenase,-1.7896273,1.763345e-14,1.7896273
Anaerobic respiration,AAP17981.1,tyrA,chorismate mutase-T and prephenate dehydrogenase,-1.3890467,1.756445e-09,1.3890467
Anaerobic respiration,AAP18811.1,yihU,putative dehydrogenase,-0.8853442,0.0002837826,0.8853442
Anaerobic respiration,AAP17693.1,nuoC,NADH dehydrogenase I chain C%2C D,0.8079515,0.0003937343,-0.8079515
Anaerobic respiration,AAP17692.1,nuoE,NADH dehydrogenase I chain E,0.8705575,0.0001385807,-0.8705575
Anaerobic respiration,AAP17627.1,napD,hypothetical protein,0.8772916,0.0009139713,-0.8772916
Anaerobic respiration,AAP17691.1,nuoF,NADH dehydrogenase I chain F,0.9152075,6.207967e-05,-0.9152075
Anaerobic respiration,AAP17683.1,nuoN,NADH dehydrogenase I chain N,0.9463664,3.492757e-05,-0.9463664
Anaerobic respiration,AAP17690.1,nuoG,NADH dehydrogenase I chain G,0.9539597,2.983119e-05,-0.9539597
Anaerobic respiration,AAP17685.1,nuoL,NADH dehydrogenase I chain L,1.012825,9.634199e-06,-1.012825
Anaerobic respiration,AAP17684.1,nuoM,NADH dehydrogenase I chain M,1.0365933,6.17841e-06,-1.0365933
Anaerobic respiration,AAP17687.1,nuoJ,NADH dehydrogenase I chain J,1.0520289,4.473856e-06,-1.0520289
Anaerobic respiration,AAP17688.1,nuoI,NADH dehydrogenase I chain I,1.0917408,1.96617e-06,-1.0917408
Anaerobic respiration,AAP17689.1,nuoH,NADH dehydrogenase I chain H,1.0942046,1.822074e-06,-1.0942046
Anaerobic respiration,AAP17686.1,nuoK,NADH dehydrogenase I chain K,1.1432596,6.813392e-07,-1.1432596
Central carbon and amino acid metabolism,AAP17589.1,fruK,fructose-1-phosphate kinase,-1.8071132,1.081308e-14,1.8071132
Central carbon and amino acid metabolism,AAP17451.1,hisC,histidinol-phosphate aminotransferase,-1.5541412,2.020876e-11,1.5541412
Central carbon and amino acid metabolism,AAP17982.1,aroF,3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase%2C tyrosine repressible),-1.5218774,4.922366e-11,1.5218774
Central carbon and amino acid metabolism,AAP17453.1,hisH,glutamine amidotransferase subunit of heterodimer with HisF%2C imidazole glycerol phosphate synthase holoenzyme,-1.1771962,2.972364e-07,1.1771962
