orf,gene,desc,cog,log2FC_anaer,log2FC_fnr,pathway
SF5M90T_2223,napA,probable nitrate reductase 3,Energy production and conversion,7.4,-4.85,Anaerobic respiration
SF5M90T_2975,hybA,hydrogenase-2 small subunit,Energy production and conversion,6.78,-2.34,Anaerobic respiration
SF5M90T_1706,fdnG,formate dehydrogenase-N alpha subunit,Energy production and conversion,6.67,-5.67,Anaerobic respiration
SF5M90T_2220,napB,cytochrome c-type protein,Energy production and conversion,6.39,-3.89,Anaerobic respiration
SF5M90T_4218,frdB,"fumarate reductase, anaerobic, iron-sulfur protein subunit",Energy production and conversion,6.24,-2.08,Anaerobic respiration
SF5M90T_2707,hycB,"small subunit of hydrogenase-3, iron- sulfur protein",Energy production and conversion,6.22,-2.96,Anaerobic respiration
SF5M90T_2221,napH,ferredoxin-type protein: electron transfer,Energy production and conversion,6.19,-4.62,Anaerobic respiration
SF5M90T_2976,,putative hydrogenase subunit,Energy production and conversion,5.97,-2.49,Anaerobic respiration
SF5M90T_2720,hydN,electron transport protein,Energy production and conversion,5.87,-3.96,Anaerobic respiration
SF5M90T_4018,fumB,"fumarate hydratase class I, anaerobic",Energy production and conversion,5.83,-3.65,Anaerobic respiration
SF5M90T_4219,frdA,"fumarate reductase, anaerobic, flavoprotein subunit",Energy production and conversion,5.81,-2.34,Anaerobic respiration
SF5M90T_2222,napG,ferredoxin-type protein: electron transfer,Energy production and conversion,5.45,-4.47,Anaerobic respiration
SF5M90T_2219,napC,cytochrome c-type protein,Energy production and conversion,4.92,-4.09,Anaerobic respiration
SF5M90T_2974,hybB,probable cytochrome Ni/Fe component of hydrogenase-2,Energy production and conversion,4.83,-1.92,Anaerobic respiration
SF5M90T_3080,pflB,formate acetyltransferase 1,Energy production and conversion,4.79,-1.93,Anaerobic respiration
SF5M90T_4217,frdC,"fumarate reductase, anaerobic, membrane anchor polypeptide",Energy production and conversion,4.67,-2.16,Anaerobic respiration
SF5M90T_4216,frdD,"fumarate reductase, anaerobic, membrane anchor polypeptide",Energy production and conversion,4.54,,Anaerobic respiration
SF5M90T_968,hyaA,hydrogenase-1 small subunit,Energy production and conversion,4.54,,Anaerobic respiration
SF5M90T_567,citD,citrate lyase acyl carrier protein (gamma chain),Energy production and conversion,4.53,-3.3,Central carbon and amino acid metabolism
SF5M90T_1229,adhE,CoA-linked acetaldehyde dehydrogenase and iron- dependent alcohol dehydrogenase,Energy production and conversion,4.41,,Anaerobic respiration
SF5M90T_2973,hybC,"probable large subunit, hydrogenase-2",Energy production and conversion,4.36,-1.75,Anaerobic respiration
SF5M90T_1705,fdnH,formate dehydrogenase-N beta subunit,Energy production and conversion,4.2,-4.23,Anaerobic respiration
SF5M90T_970,hyaC,probable Ni/Fe-hydrogenase 1 b-type cytochrome subunit,Energy production and conversion,4.13,,Anaerobic respiration
SF5M90T_1704,fdnI,formate dehydrogenase-N gamma subunit,Energy production and conversion,4.05,-3.54,Anaerobic respiration
SF5M90T_602,appC,"probable third cytochrome oxidase, subunit I",Energy production and conversion,3.96,,Anaerobic respiration
SF5M90T_4050,nrfB,cytochrome c nitrite reductase pentaheme subunit,Energy production and conversion,3.67,-3.28,Anaerobic respiration
SF5M90T_565,citF,citrate lyase alpha chain,Energy production and conversion,3.31,-2.88,Central carbon and amino acid metabolism
SF5M90T_969,hyaB,hydrogenase-1 large subunit,Energy production and conversion,3.31,,Anaerobic respiration
SF5M90T_2254,glpA,"sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit",Energy production and conversion,2.88,-1.09,Anaerobic respiration
SF5M90T_2972,hybD,probable processing element for hydrogenase-2,Energy production and conversion,2.77,-1.96,Anaerobic respiration
SF5M90T_2712,hycG,hydrogenase activity,Energy production and conversion,2.75,,Anaerobic respiration
SF5M90T_1003,wrbA,NAD(P)H dehydrogenase (quinone),Energy production and conversion,2.6,2.44,Anaerobic respiration
SF5M90T_4049,nrfC,formate-dependent nitrite reductase,Energy production and conversion,2.52,-3.31,Anaerobic respiration
SF5M90T_1217,narG,"nitrate reductase 1, alpha subunit",Energy production and conversion,2.49,-2.63,Anaerobic respiration
SF5M90T_3204,yhdH,putative dehydrogenase,Energy production and conversion,2.44,,Anaerobic respiration
SF5M90T_2711,hycF,probable iron-sulfur protein of hydrogenase 3 (part of FHL complex),Energy production and conversion,2.36,,Anaerobic respiration
SF5M90T_2708,hycC,membrane-spanning protein of hydrogenase 3,Energy production and conversion,2.3,-2.73,Anaerobic respiration
SF5M90T_3877,yiaK,putative dehydrogenase,Energy production and conversion,1.93,1.22,Anaerobic respiration
SF5M90T_2256,glpC,"sn-glycerol-3-phosphate dehydrogenase (anaerobic), K-small subunit",Energy production and conversion,1.92,,Anaerobic respiration
